year,hpi_index,hpi_growth_pct,hpi_assessment,cpi_pct,cumulative_inflation_index,aed_inr_rate,fx_growth_pct
2013,86.0,,84.66666666666667,10.0178784746102,1.100178784746102,16.030833333333334,
2014,90.25,4.941860465116288,89.25,6.66565671867899,1.1735129258290113,16.645,3.831158704579707
2015,94.75,4.986149584487531,89.75,4.90697344127256,1.2310968934293414,17.485,5.046560528687283
2016,96.75,2.110817941952514,95.75,4.94821634062141,1.2920142310788947,18.301666666666666,4.670670098179386
2017,98.0,1.2919896640826822,99.0,3.32817337461298,1.335014704713873,17.669999999999998,-3.4514160823240214
2018,101.5,3.571428571428581,102.25,3.9388264669163,1.3875986172403676,18.631666666666664,5.442369364270894
2019,103.75,2.2167487684729092,108.0,3.72950573539129,1.4393491872545572,19.150000000000002,2.782001967975689
2020,104.25,0.48192771084336616,111.75,6.62343677628535,1.5346835706623396,20.165833333333335,5.304612706701484
2021,106.5,2.158273381294973,115.0,5.13140747176369,1.6134344380752366,20.116666666666667,-0.24381172775734816
2022,114.4575,7.471830985915484,122.685,6.69903414079852,1.7215189619212972,21.464166666666667,6.698425849212919
2023,127.2775,11.200664001922123,128.85500000000002,5.64914318907925,1.818770033107382,22.478333333333335,4.724929145475021
2024,139.5025,9.6049969554713,137.115,4.95303550973656,1.9088543586876379,22.8,1.431007636983761
2025,144.985,3.9300370961093956,144.985,,,23.775833333333335,4.27997076023392
