date,fx_linear_trend,fx_exponential,fx_cagr_conservative,fx_cagr_expected,fx_cagr_optimistic,fx_prophet,fx_prophet_lo,fx_prophet_hi
2026-01-01,22.997935805727252,23.495837855126762,24.510783333333332,24.538108166666667,24.562578166666665,23.573634635459257,22.680143188641537,24.358243540549875
2026-02-01,23.043861738083667,23.554279380822297,24.55163463888889,24.606405901063887,24.655506587397216,23.681016099203358,22.71588727342117,24.51628672095385
2026-03-01,23.08978767044008,23.612866268941026,24.592554029953707,24.67489373082185,24.748786587319533,23.540104205315057,22.575997076199627,24.456246914288307
2026-04-01,23.135713602796493,23.67159888104494,24.63354162000363,24.743572185039305,24.842419496574887,23.73773507498085,22.77492841134294,24.601120462105584
2026-05-01,23.181639535152907,23.730477579595334,24.674597522703635,24.812441794287665,24.93640665033693,23.84773106852089,22.898848164833648,24.815005913946536
2026-06-01,23.227565467509322,23.789502727955075,24.715721851908143,24.8815030906151,25.030749388830706,24.036026826504077,23.05554532913818,25.005043507228233
2026-07-01,23.273491399865733,23.848674690390812,24.756914721661325,24.950756607550645,25.125449057351776,24.076919575642634,23.0221841701129,25.06838319689492
2026-08-01,23.319417332222148,23.907993832075256,24.79817624619743,25.02020288010833,25.22050700628542,24.428553479128023,23.404535743219384,25.367939970889978
2026-09-01,23.365343264578563,23.9674605190894,24.839506539941087,25.0898424447913,25.315924591125867,24.472083193664318,23.358826682572687,25.509455663562793
2026-10-01,23.411269196934974,24.027075118424808,24.88090571750766,25.159675839595966,25.41170317249562,24.518739405416948,23.381237974642637,25.538666871273453
2026-11-01,23.45719512929139,24.08683799798586,24.922373893703508,25.22970360401618,25.507844116164897,24.440093285336555,23.358083178439035,25.387937707658523
2026-12-01,23.503121061647803,24.146749526592036,24.96391118352635,25.299926279047355,25.604348793071054,24.426640186387168,23.291238066907074,25.484604594665075
2027-01-01,23.549046994004215,24.20681007398018,25.00551770216556,25.370344407190707,25.70121857933817,24.409425895422686,23.294623604035472,25.388686661588697
2027-02-01,23.59497292636063,24.26702001080679,25.0471935650025,25.440958532457387,25.798454856296665,24.55386150452385,23.377303402312354,25.700025071175002
2027-03-01,23.640898858717044,24.3273797086503,25.088938887610837,25.511769200372726,25.896059010502984,24.082488396452167,22.817074060603662,25.199395837215025
2027-04-01,23.686824791073455,24.387889540013386,25.130753785756863,25.582776957980432,25.994032433759383,24.461975209601174,23.2179976784398,25.614467880383422
2027-05-01,23.73275072342987,24.448549878325245,25.17263837539979,25.65398235384681,26.092376523133773,24.558225573154637,23.268187026890416,25.71478539866635
2027-06-01,23.778676655786285,24.509361097943913,25.21459277269212,25.72538593806502,26.191092680979626,24.689189365887398,23.42465230495376,25.880444296423324
2027-07-01,23.8246025881427,24.57032357415857,25.256617093979944,25.7969882622593,26.290182314956,24.759044069332827,23.479874791104404,25.997862245917922
2027-08-01,23.870528520499114,24.631437683191866,25.298711455803247,25.868789879589254,26.38964683804758,25.26991738060883,23.909691124262633,26.5591324837944
2027-09-01,23.916454452855525,24.69270380220222,25.34087597489625,25.940791344754114,26.489487668584854,25.230435240686084,23.7669250393774,26.494150323470365
2027-10-01,23.962380385211937,24.75412230928618,25.38311076818775,26.012993213997014,26.58970623026433,25.199601847386628,23.884830170380766,26.51237919963788
2027-11-01,24.008306317568355,24.815693583480723,25.42541595280139,26.085396045109306,26.690303952168833,25.008095900823562,23.508207037447775,26.32032454426071
2027-12-01,24.054232249924766,24.877418004765623,25.467791646056064,26.15800039743486,26.791282268787864,25.06440843189299,23.628543919164244,26.43287768160782
2028-01-01,24.10015818228118,24.939295954065773,25.510237965466157,26.230806831874393,26.89264262003811,25.24890630592626,23.78191393588502,26.55521432045568
2028-02-01,24.146084114637596,25.00132781325355,25.552755028741934,26.303815910889774,26.994386451283923,25.423724016810475,23.89715135004136,26.81142185888713
2028-03-01,24.192010046994007,25.06351396515117,25.595342953789842,26.377028198508416,27.096515213357943,25.282573548530344,23.721091772889338,26.594430827682533
2028-04-01,24.23793597935042,25.125854793533044,25.638001858712826,26.4504442603276,27.199030362581812,25.126548624520836,23.476639974757273,26.459005545866713
2028-05-01,24.283861911706836,25.18835068312815,25.680731861810678,26.524064663518846,27.30193336078691,25.25940990938268,23.56724345149336,26.75154124865867
