quarter,year,quarter_num,t,hpi_primary,log_hpi,hpi_lag1,hpi_lag4,hpi_lag8,growth_lag1,hpi_roll4q,hpi_qoq_pct,hpi_yoy_pct,post_covid,covid_period,hpi_source,split
2022-12-01,2022,4,38,119.71,4.785072151263279,116.12,108.0,105.0,3.678571428571442,114.4575,3.091629348949354,10.842592592592592,1,0,market,test
2023-03-01,2023,1,39,122.87,4.81112688587948,119.71,110.0,105.0,3.091629348949354,117.675,2.6397126388773007,11.7,1,0,market,test
2023-06-01,2023,2,40,125.69,4.8338185579367465,122.87,112.0,106.0,2.6397126388773007,121.0975,2.295108651420197,12.22321428571429,1,0,market,test
2023-09-01,2023,3,41,128.56,4.856395721429257,125.69,116.12,107.0,2.295108651420197,124.2075,2.2833956559789925,10.713055459869093,1,0,market,test
2023-12-01,2023,4,42,131.99,4.882726162140863,128.56,119.71,108.0,2.2833956559789925,127.2775,2.6680149346608677,10.258123799181362,1,0,market,test
2024-03-01,2024,1,43,135.37,4.908011770197695,131.99,122.87,110.0,2.6680149346608677,130.4025,2.5608000606106573,10.173353951330675,1,0,market,test
2024-06-01,2024,2,44,139.08,4.935049307139661,135.37,125.69,112.0,2.5608000606106573,133.75,2.740636773288041,10.653194367093665,1,0,market,test
2024-09-01,2024,3,45,142.95,4.9624949187683205,139.08,128.56,116.12,2.740636773288041,137.3475,2.7825711820534726,11.19321717485997,1,0,market,test
2024-12-01,2024,4,46,140.61,4.9459901006027245,142.95,131.99,119.71,2.7825711820534726,139.5025,-1.6369359916054371,6.530797787711196,1,0,assessment_imputed,test
2025-03-01,2025,1,47,143.29,4.964870548728511,140.61,135.37,122.87,-1.6369359916054371,141.48250000000002,1.9059810824265444,5.850631602275236,1,0,assessment_imputed,test
2025-06-01,2025,2,48,143.98,4.969674401041157,143.29,139.08,125.69,1.9059810824265444,142.70749999999998,0.4815409309791407,3.5231521426516865,1,0,assessment_imputed,test
2025-09-01,2025,3,49,145.02,4.976871663943447,143.98,142.95,128.56,0.4815409309791407,143.22500000000002,0.7223225447978932,1.448058761804849,1,0,assessment_imputed,test
2025-12-01,2025,4,50,147.65,4.994844608189932,145.02,140.61,131.99,0.7223225447978932,144.985,1.813542959591774,5.006756276225022,1,0,assessment_imputed,test
