date,year,month_num,t,rate_close,log_rate,rate_lag1,rate_lag3,rate_lag6,rate_lag12,mom_lag1,mom_change_pct,yoy_change_pct,roll3m,roll6m,roll12m,vol12m,split
2014-12-01,2014,12,23,17.16,2.8425810940598164,16.93,16.86,16.35,16.83,1.32,1.34,1.9607843137255052,16.933333333333334,16.77,16.645,0.326872229694508,train
2015-01-01,2015,1,24,16.88,2.826129489167811,17.16,16.71,16.49,17.07,1.34,-1.62,-1.1130638547158789,16.99,16.835,16.629166666666666,0.30849954569978605,train
2015-02-01,2015,2,25,16.78,2.8201877010390604,16.88,16.93,16.47,16.82,-1.62,-0.58,-0.2378121284185463,16.94,16.886666666666667,16.625833333333333,0.3064594985351718,train
2015-03-01,2015,3,26,16.96,2.830857630363757,16.78,17.16,16.86,16.34,-0.58,1.03,3.79436964504285,16.87333333333333,16.903333333333332,16.6775,0.3061528138929144,train
2015-04-01,2015,4,27,17.29,2.850128299695199,16.96,16.88,16.71,16.43,1.03,1.98,5.23432744978698,17.01,17.0,16.749166666666664,0.3415594806002051,train
2015-05-01,2015,5,28,17.35,2.8535925063928684,17.29,16.78,16.93,16.11,1.98,0.32,7.697082557417767,17.2,17.07,16.852500000000003,0.3173218899133558,train
2015-06-01,2015,6,29,17.31,2.851284369188118,17.35,16.96,17.16,16.35,0.32,-0.2,5.871559633027501,17.316666666666666,17.095,16.9325,0.2996399354376713,train
2015-07-01,2015,7,30,17.42,2.857618971424357,17.31,17.29,16.88,16.49,-0.2,0.59,5.639781685870249,17.36,17.185,17.01,0.29501925977190546,train
2015-08-01,2015,8,31,18.08,2.89480635496403,17.42,17.35,16.78,16.47,0.59,3.8,9.77534911961142,17.603333333333335,17.401666666666667,17.144166666666667,0.3807518479232449,train
2015-09-01,2015,9,32,17.83,2.8808824318750488,18.08,17.31,16.96,16.86,3.8,-1.36,5.753262158956107,17.776666666666667,17.546666666666667,17.224999999999998,0.416249488124166,train
2015-10-01,2015,10,33,17.81,2.87976009730157,17.83,17.42,17.29,16.71,-1.36,-0.15,6.582884500299202,17.906666666666663,17.633333333333333,17.316666666666666,0.4136386946321165,train
2015-11-01,2015,11,34,18.09,2.895359299407204,17.81,18.08,17.35,16.93,-0.15,1.58,6.851742468989963,17.91,17.756666666666664,17.413333333333334,0.44908661511870684,train
2015-12-01,2015,12,35,18.02,2.8914822521801917,18.09,17.83,17.31,17.16,1.58,-0.35,5.011655011655014,17.973333333333333,17.875,17.485,0.47296934361540655,train
2016-01-01,2016,1,36,18.48,2.916689066213538,18.02,17.81,17.42,16.88,-0.35,2.51,9.478672985782,18.19666666666667,18.051666666666666,17.618333333333336,0.5109142132817602,train
2016-02-01,2016,2,37,18.56,2.9210087273580543,18.48,18.09,18.08,16.78,2.51,0.47,10.6078665077473,18.35333333333333,18.131666666666664,17.76666666666667,0.5037375459021292,train
2016-03-01,2016,3,38,18.03,2.8920370372152258,18.56,18.02,17.83,16.96,0.47,-2.85,6.308962264150941,18.356666666666666,18.165,17.855833333333333,0.43843644368539736,train
2016-04-01,2016,4,39,18.08,2.89480635496403,18.03,18.48,17.81,17.29,-2.85,0.26,4.569115095430876,18.223333333333333,18.209999999999997,17.921666666666667,0.4036837946469842,train
2016-05-01,2016,5,40,18.29,2.906354462402774,18.08,18.56,18.09,17.35,0.26,1.17,5.4178674351584855,18.133333333333333,18.243333333333332,17.999999999999996,0.3726807066255114,train
2016-06-01,2016,6,41,18.37,2.9107188992270343,18.29,18.03,18.02,17.31,1.17,0.45,6.123627960716371,18.246666666666666,18.301666666666666,18.088333333333335,0.31550344569022426,train
2016-07-01,2016,7,42,18.14,2.8981194446869907,18.37,18.08,18.48,17.42,0.45,-1.28,4.133180252583224,18.266666666666666,18.245,18.148333333333333,0.23505640844591902,train
2016-08-01,2016,8,43,18.23,2.9030685886905716,18.14,18.29,18.56,18.08,-1.28,0.49,0.829646017699126,18.246666666666666,18.19,18.160833333333333,0.23508057935069443,train
2016-09-01,2016,9,44,18.12,2.8970163006148333,18.23,18.37,18.03,17.83,0.49,-0.61,1.6264722378014795,18.163333333333338,18.205000000000002,18.185,0.21172452084548826,train
2016-10-01,2016,10,45,18.15,2.8986705607108596,18.12,18.14,18.08,17.81,-0.61,0.2,1.909039865244244,18.166666666666668,18.21666666666667,18.213333333333335,0.17685810097014582,train
2016-11-01,2016,11,46,18.67,2.9269179575536315,18.15,18.23,18.29,18.09,0.2,2.86,3.206191265892766,18.313333333333333,18.28,18.261666666666667,0.2151884304651128,train
2016-12-01,2016,12,47,18.5,2.917770732084279,18.67,18.12,18.37,18.02,2.86,-0.94,2.663706992230863,18.439999999999998,18.301666666666666,18.301666666666666,0.2107490249446702,train
2017-01-01,2017,1,48,18.37,2.9107188992270343,18.5,18.15,18.14,18.48,-0.94,-0.67,-0.5952380952380931,18.513333333333335,18.34,18.2925,0.20458938922093675,train
2017-02-01,2017,2,49,18.16,2.8992213731731473,18.37,18.67,18.23,18.56,-0.67,-1.16,-2.155172413793094,18.343333333333334,18.328333333333333,18.259166666666665,0.18903863642278054,train
2017-03-01,2017,3,50,17.65,2.8707357833793057,18.16,18.5,18.12,18.03,-1.16,-2.79,-2.1075984470327325,18.060000000000002,18.25,18.2275,0.2521949101929919,train
2017-04-01,2017,4,51,17.5,2.8622008809294686,17.65,18.37,18.15,18.08,-2.79,-0.89,-3.207964601769897,17.77,18.141666666666666,18.179166666666667,0.32739907073040153,train
2017-05-01,2017,5,52,17.56,2.8656235882069705,17.5,18.16,18.67,18.29,-0.89,0.37,-3.9912520503007087,17.57,17.956666666666667,18.118333333333336,0.3699836196210025,train
2017-06-01,2017,6,53,17.59,2.8673305587494666,17.56,17.65,18.5,18.37,0.37,0.17,-4.246053347849765,17.55,17.805000000000003,18.053333333333335,0.3897396178180379,train
2017-07-01,2017,7,54,17.47,2.8604851241459652,17.59,17.5,18.37,18.14,0.17,-0.69,-3.693495038588768,17.540000000000003,17.655,17.9975,0.42278567534001027,train
